City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
190,antofagasta,-23.65,-70.4,17.6,86,34,2.76,CL,1681194409
191,jayanca,-6.3908,-79.8219,26.78,77,95,1.36,PE,1681194411
192,geraldton,-28.7667,114.6,24.23,46,24,6.17,AU,1681194344
193,male,4.1748,73.5089,28.94,71,46,4.23,MV,1681194265
194,georgetown,5.4112,100.3354,32.96,70,20,3.6,MY,1681194414
195,brae,60.3964,-1.353,6.87,86,100,5.1,GB,1681194415
196,ponta delgada,37.7333,-25.6667,16.4,88,40,5.66,PT,1681194232
197,olenegorsk,68.15,33.3,1.42,94,100,1.84,RU,1681194417
198,sechura,-5.5569,-80.8222,26.78,78,95,1.26,PE,1681194418
199,new norfolk,-42.7826,147.0587,15.51,67,100,0.45,AU,1681194419
200,charleston,32.7766,-79.9309,14.01,83,0,2.57,US,1681194420
201,adrar,20.5022,-10.0711,22.05,37,45,4.8,MR,1681194421
202,terekli-mekteb,44.1671,45.8698,15.47,54,24,9.19,RU,1681194422
203,hirara,24.8,125.2833,25.92,69,40,3.09,JP,1681194423
204,jimo,36.3897,120.4622,15.88,17,20,10.0,CN,1681194425
205,deputatskiy,69.3,139.9,-15.13,78,1,0.87,RU,1681194426
206,aswan,24.0934,32.907,24.52,36,70,8.07,EG,1681194427
207,saint anthony,45.0205,-93.218,13.96,55,0,2.06,US,1681194428
208,waldkraiburg,48.2085,12.3989,12.08,90,100,5.51,DE,1681194429
209,muisne,0.6,-80.0333,24.75,89,73,1.29,EC,1681194430
210,chokurdakh,70.6333,147.9167,-17.29,87,92,2.38,RU,1681194255
211,takoradi,4.8845,-1.7554,26.47,85,100,3.02,GH,1681194433
212,ketchikan,55.3422,-131.6461,3.26,87,100,4.63,US,1681194434
213,belz,47.6751,-3.168,11.72,89,99,1.34,FR,1681194435
214,baoning,25.3378,110.026,19.92,94,100,1.0,CN,1681194436
215,bethel,41.3712,-73.414,8.97,68,0,0.0,US,1681194256
216,general roca,-39.0333,-67.5833,11.14,76,38,2.22,AR,1681194440
217,rio gallegos,-51.6226,-69.2181,4.03,70,0,7.72,AR,1681194194
218,vanimo,-2.6741,141.3028,27.47,73,94,2.91,PG,1681194442
219,qaqortoq,60.7167,-46.0333,-0.02,81,100,2.7,GL,1681194445
220,casino,-28.8667,153.05,26.98,24,0,1.07,AU,1681194446
221,thunder bay,48.4001,-89.3168,7.95,49,0,3.6,CA,1681194447
222,jundia,-8.9347,-35.5736,23.29,92,83,0.54,BR,1681194448
223,barentu,15.1139,37.5928,31.12,27,0,2.38,ER,1681194449
224,saint george,37.1041,-113.5841,19.33,35,0,1.54,US,1681194452
225,colares,38.7992,-9.4469,15.98,82,20,6.71,PT,1681194453
226,leshukonskoye,64.8989,45.7622,0.72,96,100,3.58,RU,1681194454
227,ust-nera,64.5667,143.2,-11.28,82,75,1.69,RU,1681194455
228,road town,18.4167,-64.6167,26.05,78,2,6.44,VG,1681194457
229,fortuna,40.5982,-124.1573,9.96,95,100,0.45,US,1681194458
230,ekhabi,53.5102,142.9671,0.05,55,27,3.81,RU,1681194459
231,bilma,18.6853,12.9164,23.31,28,63,6.58,NE,1681194460
232,alexander city,32.944,-85.9539,9.62,70,34,2.7,US,1681194461
233,inhambane,-23.865,35.3833,25.99,83,75,2.06,MZ,1681194463
234,paamiut,61.994,-49.6678,0.26,75,96,2.37,GL,1681194464
235,tasiilaq,65.6145,-37.6368,0.09,99,100,2.65,GL,1681194466
236,pleasanton,37.6624,-121.8747,14.19,89,75,3.6,US,1681194468
237,ahipara,-35.1667,173.1667,18.24,91,15,7.2,NZ,1681194469
238,alofi,-19.0595,-169.9187,25.94,78,3,4.12,NU,1681194471
239,najran,17.4924,44.1277,23.36,44,0,1.68,SA,1681194472
240,camabatela,-8.1881,15.375,17.81,98,99,0.8,AO,1681194473
241,ankazoabo,-22.2833,44.5167,27.17,56,0,0.5,MG,1681194474
242,bambous virieux,-20.3428,57.7575,27.14,83,75,2.57,MU,1681194475
243,cabedelo,-6.9811,-34.8339,24.37,77,100,4.14,BR,1681194476
244,sibolga,1.7427,98.7792,29.86,67,83,2.85,ID,1681194478
245,praia da vitoria,38.7333,-27.0667,17.14,82,75,6.33,PT,1681194479
246,ancud,-41.8697,-73.8203,13.68,97,100,3.55,CL,1681194480
247,castro,-24.7911,-50.0119,12.79,98,6,1.67,BR,1681194483
